fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
168349,"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",10,126.0,1.5,17.8,5.5,0.0
169148,"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",10,117.0,1.6,18.0,4.4,0.0
168350,"Pork, cured, ham and water product, rump, bone-in, separable lean and fat, heated, roasted",10,186.0,1.2,19.5,11.5,0.0
168332,"Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted",10,131.0,1.2,21.3,4.7,0.0
168351,"Pork, cured, ham and water product, shank, bone-in, separable lean and fat, heated, roasted",10,234.0,1.4,18.2,17.3,0.0
169150,"Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",10,132.0,1.3,21.7,4.4,0.0
169169,"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",10,123.0,4.6,13.9,5.5,0.0
168327,"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",10,123.0,4.6,13.9,5.5,0.0
169170,"Pork, cured, ham with natural juices, rump, bone-in, separable lean and fat, heated, roasted",10,177.0,0.6,22.5,9.4,0.0
167919,"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",10,137.0,0.5,24.1,4.2,0.0
169171,"Pork, cured, ham with natural juices, shank, bone-in, separable lean and fat, heated, roasted",10,191.0,0.3,22.9,10.9,0.0
167920,"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",10,145.0,0.3,25.0,5.0,0.0
168354,"Pork, cured, ham with natural juices, spiral slice, boneless, separable lean and fat, heated, roasted",10,139.0,1.1,22.2,5.1,0.0
168331,"Pork, cured, ham with natural juices, spiral slice, meat only, boneless, separable lean only, heated, roasted",10,126.0,1.1,22.6,3.8,0.0
168355,"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",10,114.0,0.8,20.5,3.1,0.0
168334,"Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",10,113.0,0.8,20.6,3.0,0.0
167871,"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",10,145.0,1.5,20.9,5.5,0.0
168296,"Pork, cured, ham, boneless, extra lean and regular, roasted",10,165.0,0.5,22.0,7.7,0.0
168111,"Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",10,145.0,1.5,20.9,5.5,0.0
169906,"Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",10,165.0,0.5,22.0,7.7,0.0
167872,"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",10,178.0,0.0,22.6,9.0,0.0
168280,"Pork, cured, ham, extra lean (approximately 4% fat), canned, roasted",10,136.0,0.5,21.2,4.9,0.0
167886,"Pork, cured, ham, extra lean and regular, canned, roasted",10,167.0,0.5,20.9,8.4,0.0
168110,"Pork, cured, ham, low sodium, lean and fat, cooked",10,172.0,0.3,22.3,8.3,0.0
168281,"Pork, cured, ham, regular (approximately 13% fat), canned, roasted",10,226.0,0.4,20.5,15.2,0.0
168356,"Pork, cured, ham, rump, bone-in, separable lean and fat, heated, roasted",10,177.0,0.6,24.0,8.9,0.0
169173,"Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",10,132.0,0.7,26.0,3.1,0.0
168357,"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",10,191.0,0.6,24.4,9.4,0.0
169175,"Pork, cured, ham, shank, bone-in, separable lean only, heated, roasted",10,139.0,0.7,26.5,3.7,0.0
168284,"Pork, cured, ham, whole, separable lean only, roasted",10,157.0,0.0,25.0,5.5,0.0
167878,"Pork, cured, separable fat (from ham and arm picnic), roasted",10,591.0,0.0,7.6,61.9,0.0
167879,"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",10,280.0,0.0,20.4,21.4,0.0
167880,"Pork, cured, shoulder, arm picnic, separable lean only, roasted",10,170.0,0.0,24.9,7.0,0.0
168289,"Pork, cured, shoulder, blade roll, separable lean and fat, roasted",10,287.0,0.4,17.3,23.5,0.0
168300,"Pork, fresh, backribs, separable lean and fat, cooked, roasted",10,292.0,0.0,23.0,21.5,0.0
168380,"Pork, fresh, blade, (chops), boneless, separable lean and fat, cooked, broiled",10,202.0,0.8,24.7,11.1,0.0
168218,"Pork, fresh, composite of separable fat, with added solution, cooked",10,585.0,0.3,10.1,60.4,0.0
167855,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",10,201.0,0.0,27.5,9.2,0.0
168297,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",10,238.0,0.0,26.4,13.9,0.0
167906,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",10,235.0,0.0,26.1,13.7,0.0
167908,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",10,211.0,0.0,29.5,9.4,0.0
167903,"Pork, fresh, ground, cooked",10,297.0,0.0,25.7,20.8,0.0
167815,"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",10,209.0,0.0,27.0,10.3,0.0
167817,"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",10,165.0,0.0,28.9,4.6,0.0
168227,"Pork, fresh, leg (ham), shank half, separable lean and fat, cooked, roasted",10,232.0,0.0,26.0,13.4,0.0
168229,"Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted",10,175.0,0.0,28.7,5.8,0.0
